5.6, {'train_loss_epoch_ave': [tensor(1613753.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.65, {'train_loss_epoch_ave': [tensor(568445.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.7, {'train_loss_epoch_ave': [tensor(1806684.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.75, {'train_loss_epoch_ave': [tensor(382852.4062, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.8, {'train_loss_epoch_ave': [tensor(826465.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.85, {'train_loss_epoch_ave': [tensor(1179495.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.9, {'train_loss_epoch_ave': [tensor(976067.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.95, {'train_loss_epoch_ave': [tensor(423549.5625, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.0, {'train_loss_epoch_ave': [tensor(1832999., device='cuda:0')], 'valid_loss_epoch_ave': []}
6.05, {'train_loss_epoch_ave': [tensor(697170.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.1, {'train_loss_epoch_ave': [tensor(833805.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.15, {'train_loss_epoch_ave': [tensor(348751.6562, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.2, {'train_loss_epoch_ave': [tensor(965238.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.25, {'train_loss_epoch_ave': [tensor(770439.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.3, {'train_loss_epoch_ave': [tensor(634288., device='cuda:0')], 'valid_loss_epoch_ave': []}
6.35, {'train_loss_epoch_ave': [tensor(612916.5625, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.4, {'train_loss_epoch_ave': [tensor(1239670.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.45, {'train_loss_epoch_ave': [tensor(1357804.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.5, {'train_loss_epoch_ave': [tensor(925823.8125, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.55, {'train_loss_epoch_ave': [tensor(1052027.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.6, {'train_loss_epoch_ave': [tensor(560684.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.65, {'train_loss_epoch_ave': [tensor(782960.1875, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.7, {'train_loss_epoch_ave': [tensor(2939772.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.75, {'train_loss_epoch_ave': [tensor(861921.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.8, {'train_loss_epoch_ave': [tensor(984377.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.85, {'train_loss_epoch_ave': [tensor(897819.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.9, {'train_loss_epoch_ave': [tensor(556530.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
6.95, {'train_loss_epoch_ave': [tensor(683458.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.0, {'train_loss_epoch_ave': [tensor(1083326.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.05, {'train_loss_epoch_ave': [tensor(1161687.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.1, {'train_loss_epoch_ave': [tensor(689908.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.15, {'train_loss_epoch_ave': [tensor(612120.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.2, {'train_loss_epoch_ave': [tensor(1413898.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.25, {'train_loss_epoch_ave': [tensor(669323.1875, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.3, {'train_loss_epoch_ave': [tensor(1755337.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.35, {'train_loss_epoch_ave': [tensor(537806.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.4, {'train_loss_epoch_ave': [tensor(593891.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.45, {'train_loss_epoch_ave': [tensor(955249.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.5, {'train_loss_epoch_ave': [tensor(859068.1875, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.55, {'train_loss_epoch_ave': [tensor(1118369.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.6, {'train_loss_epoch_ave': [tensor(1490502.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.65, {'train_loss_epoch_ave': [tensor(596387.8125, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.7, {'train_loss_epoch_ave': [tensor(527338.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.75, {'train_loss_epoch_ave': [tensor(1621362.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.8, {'train_loss_epoch_ave': [tensor(1001425.4375, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.85, {'train_loss_epoch_ave': [tensor(896338.1875, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.9, {'train_loss_epoch_ave': [tensor(507520.0312, device='cuda:0')], 'valid_loss_epoch_ave': []}
7.95, {'train_loss_epoch_ave': [tensor(1216492.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.0, {'train_loss_epoch_ave': [tensor(410963.4688, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.05, {'train_loss_epoch_ave': [tensor(526342.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.1, {'train_loss_epoch_ave': [tensor(1075965.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.15, {'train_loss_epoch_ave': [tensor(1164251.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.2, {'train_loss_epoch_ave': [tensor(628516.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.25, {'train_loss_epoch_ave': [tensor(1161239.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.3, {'train_loss_epoch_ave': [tensor(1056810.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
8.35, {'train_loss_epoch_ave': [tensor(1339734.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
